etudiant_id,age,genre,niveau_etudes,nb_connexions_semaine,temps_etude_hebdo,exercices_completes_pct,videos_vues_pct,participation_forums,nb_devoirs_rendus,revenu_famille,score_motivation,nombre_absences,acces_internet,note_mi_parcours,note_finale,reussite
72,17,M,L1,6.3,17.8,88.2,81.3,6,8,Moyen,4.4,1,Stable,12.8,14.09,1
73,17,F,L1,6.9,26.3,76.9,52.2,7,7,Bas,8.4,0,Stable,17.06,20.0,1
74,24,M,L2,3.9,13.8,80.5,53.2,5,7,Moyen,6.8,5,Instable,13.05,7.68,0
75,22,M,L2,6.1,14.9,92.0,84.4,7,9,Bas,8.9,2,Stable,14.0,13.44,1
76,25,F,L1,5.8,9.5,74.7,43.2,1,8,Moyen,7.2,5,Stable,9.69,3.78,0
77,19,F,M1,10.3,2.9,80.4,64.6,3,7,Élevé,4.6,0,Stable,10.01,14.55,1
78,22,F,M1,10.4,9.0,79.8,49.8,3,7,Moyen,7.3,0,Stable,15.91,19.08,1
79,25,F,L1,7.6,6.5,80.3,75.7,8,7,Moyen,7.7,2,Limité,10.44,7.54,0
80,20,M,L1,6.8,4.8,82.3,45.8,4,6,Bas,5.5,0,Stable,10.81,5.95,0
81,24,F,L2,8.4,20.6,51.1,76.0,8,9,Bas,3.9,5,Stable,10.97,15.21,1
82,18,F,L3,5.6,13.4,61.2,42.5,5,9,Moyen,6.7,4,Limité,13.52,13.31,1
83,20,F,M1,4.6,13.9,78.5,56.4,5,7,Moyen,4.7,4,Limité,14.33,17.92,1
84,20,F,L1,5.2,10.5,78.6,76.2,6,7,Bas,8.5,1,Stable,13.87,14.12,1
85,17,F,L3,6.1,11.1,55.5,89.6,9,6,Élevé,5.8,3,Limité,12.49,12.57,1
86,24,F,L1,4.5,16.8,76.4,69.8,7,9,Moyen,9.6,2,Stable,14.01,17.1,1
87,19,M,L2,8.5,11.8,64.6,42.3,2,8,Élevé,2.7,1,Instable,10.96,6.7,0
88,22,F,M2,10.2,14.7,57.9,81.2,4,7,Moyen,6.7,3,Stable,14.56,13.24,1
89,24,M,L1,3.2,11.0,91.2,71.8,5,9,Élevé,9.1,3,Stable,14.56,10.09,1
90,24,F,L1,8.1,10.3,69.1,42.1,3,8,Bas,4.9,1,Stable,8.14,9.31,0
91,25,F,L2,7.3,5.0,57.9,73.0,4,7,Bas,6.2,1,Instable,9.53,10.8,1
92,21,F,L3,9.0,2.1,90.8,88.1,6,9,Élevé,5.8,4,Stable,9.11,10.49,1
93,19,F,M1,8.0,10.7,51.3,77.1,4,8,Élevé,5.3,0,Stable,11.73,13.79,1
94,21,M,M2,3.6,12.3,80.9,47.2,4,9,Moyen,6.9,5,Instable,13.33,11.07,1
95,17,F,L1,4.2,5.6,83.0,86.5,7,6,Bas,4.2,2,Stable,8.11,12.16,1
96,17,F,L1,8.1,11.8,53.3,34.3,4,9,Moyen,6.3,3,Limité,10.98,12.91,1
97,17,M,L3,11.1,12.3,96.7,89.0,4,9,Moyen,7.4,4,Stable,14.5,20.0,1
98,17,M,L1,1.4,1.2,77.8,89.0,2,10,Élevé,6.1,3,Stable,9.35,12.4,1
99,23,M,M1,9.0,7.4,93.8,86.8,4,10,Moyen,4.7,2,Stable,13.13,11.56,1
100,17,F,L3,11.6,14.0,55.1,25.9,8,9,Bas,8.4,6,Stable,13.49,13.09,1
101,20,M,L1,7.5,13.9,64.2,79.9,10,7,Moyen,7.8,2,Stable,13.1,16.43,1
102,28,F,M1,9.7,6.2,78.4,38.7,5,10,Moyen,4.6,3,Stable,10.49,3.38,0
103,20,M,L1,5.9,12.8,79.6,81.8,4,8,Moyen,4.2,6,Instable,14.09,6.57,0
104,25,F,L2,7.6,17.1,85.6,52.9,4,9,Moyen,4.8,1,Stable,18.53,13.64,1
105,17,M,L2,3.1,15.9,58.6,73.9,3,8,Élevé,7.5,4,Stable,13.78,12.55,1
106,20,F,L2,1.0,11.5,93.9,88.8,7,10,Bas,7.0,2,Instable,14.25,13.27,1
107,17,M,L3,10.8,9.7,67.7,46.6,5,7,Moyen,7.9,3,Stable,11.8,4.94,0
108,20,F,L3,5.0,8.9,65.6,71.6,5,7,Moyen,5.9,2,Instable,11.04,10.08,1
109,26,F,M2,6.6,14.3,98.8,76.3,7,7,Moyen,4.8,2,Limité,15.12,14.62,1
110,17,F,M2,3.8,13.0,65.8,76.5,5,9,Élevé,8.2,1,Stable,15.73,20.0,1
111,24,F,L2,3.8,15.1,77.8,54.0,3,6,Moyen,5.5,1,Instable,12.79,20.0,1
112,23,M,L1,7.5,12.7,52.2,37.8,6,7,Moyen,6.8,3,Limité,12.58,12.75,1
113,19,M,L3,5.8,16.1,80.3,61.4,2,9,Bas,3.7,1,Stable,14.09,11.25,1
114,17,M,M2,9.1,12.5,66.5,29.6,7,8,Moyen,5.5,3,Limité,9.57,10.76,1
115,22,M,L2,9.4,15.9,17.4,73.0,7,7,Bas,8.3,4,Stable,8.9,7.83,0
116,19,F,L2,9.0,16.4,45.3,86.9,5,8,Bas,5.2,5,Stable,10.31,7.55,0
117,23,F,L2,8.7,8.0,67.3,60.4,5,8,Moyen,8.0,2,Stable,11.55,7.34,0
118,22,F,L1,12.7,3.0,60.5,76.6,1,7,Moyen,2.3,5,Stable,7.51,0.41,0
119,30,F,L3,4.8,19.7,83.6,44.7,6,10,Élevé,5.5,3,Limité,14.15,13.9,1
120,20,F,L2,7.8,13.3,36.6,50.2,6,5,Moyen,6.2,4,Stable,11.81,12.26,1
121,17,F,L3,11.4,3.4,90.9,49.6,9,9,Élevé,9.6,3,Limité,12.61,13.74,1
122,22,M,M1,11.8,8.4,75.9,59.7,4,10,Moyen,4.4,3,Instable,13.38,18.5,1
123,23,M,M1,3.7,15.9,58.8,55.7,3,10,Moyen,7.7,4,Limité,12.79,14.96,1
124,28,F,L2,7.1,10.6,81.7,68.2,3,8,Élevé,8.4,6,Limité,12.13,12.18,1
125,26,F,L2,12.1,9.4,85.4,67.9,2,6,Moyen,5.2,3,Stable,13.25,10.29,1
126,23,M,L3,9.5,19.0,69.1,83.6,8,6,Élevé,5.8,3,Limité,13.44,9.46,0
127,29,M,M1,8.6,6.8,89.9,52.5,4,6,Moyen,6.8,5,Instable,11.7,6.75,0
128,17,F,L2,7.3,8.0,64.5,94.4,6,7,Bas,3.8,2,Stable,9.78,4.79,0
129,18,M,M1,6.8,13.1,63.6,41.0,6,8,Moyen,5.7,4,Instable,9.45,0.0,0
130,17,M,L1,8.9,14.0,93.3,88.7,2,8,Bas,8.8,4,Stable,14.84,11.42,1
131,20,F,M1,7.2,14.5,90.2,54.1,5,10,Bas,7.4,4,Stable,13.77,20.0,1
132,17,F,L1,7.9,16.6,94.6,63.8,5,6,Bas,6.2,2,Stable,15.33,17.42,1
133,25,M,L1,8.2,13.0,52.0,77.7,3,8,Bas,6.7,1,Stable,11.78,10.26,1
134,20,F,L2,6.0,14.4,83.8,92.9,5,8,Moyen,7.5,3,Stable,15.95,17.76,1
135,17,M,L1,9.6,10.7,82.6,44.5,6,8,Élevé,7.9,1,Stable,11.72,4.52,0
136,17,F,L1,16.7,12.3,62.3,48.6,7,6,Moyen,5.5,6,Instable,10.43,8.66,0
137,23,M,L1,2.7,12.5,65.6,72.8,5,9,Élevé,9.3,3,Instable,10.96,16.33,1
138,26,F,L2,9.0,13.1,53.0,61.6,4,7,Moyen,8.9,1,Limité,10.32,10.65,1
139,31,M,L3,5.7,15.9,73.5,58.0,6,7,Bas,7.7,4,Limité,12.72,5.29,0
140,36,M,L1,9.7,14.8,79.0,27.2,8,6,Bas,5.0,6,Limité,12.81,8.38,0
141,24,F,L3,8.1,12.2,74.8,90.0,1,10,Élevé,4.7,5,Instable,12.85,15.91,1
142,17,M,M1,10.3,8.0,75.0,80.0,4,9,Moyen,5.9,2,Stable,11.57,11.61,1
143,17,M,L1,11.5,12.3,58.0,90.1,5,8,Élevé,6.6,3,Limité,9.57,3.35,0
144,23,M,L1,8.6,11.9,65.1,91.2,8,6,Moyen,3.3,6,Stable,12.74,18.3,1
145,17,F,M1,11.4,13.0,69.9,61.7,5,5,Moyen,7.4,3,Stable,13.85,8.04,0
146,19,F,M1,1.0,23.0,67.5,78.4,4,7,Moyen,8.8,2,Stable,14.68,16.01,1
147,18,F,L2,12.8,9.4,75.1,64.3,3,9,Élevé,7.5,2,Stable,13.58,9.13,0
148,21,M,M1,9.1,14.1,87.7,74.2,5,9,Bas,5.3,2,Instable,14.67,10.6,1
149,27,M,L1,11.2,17.3,64.1,95.3,2,7,Élevé,5.1,3,Stable,13.01,10.91,1
150,22,M,L2,4.3,12.5,91.5,69.2,4,9,Moyen,7.0,0,Instable,14.93,18.72,1
151,21,F,L3,5.5,23.7,92.4,69.4,6,7,Élevé,6.2,3,Stable,17.82,20.0,1
152,17,F,L1,8.4,10.1,56.3,60.0,3,6,Moyen,7.3,4,Stable,10.99,7.33,0
153,17,F,L3,7.9,13.6,47.7,53.7,1,8,Moyen,7.6,3,Stable,11.17,6.29,0
154,19,F,L2,8.8,8.0,80.0,88.2,6,8,Moyen,8.5,4,Stable,10.94,12.01,1
155,21,M,L3,11.3,10.2,73.3,42.5,6,10,Élevé,4.5,3,Instable,8.4,8.91,0
156,30,F,L2,2.7,13.2,84.9,40.6,7,8,Bas,6.9,4,Stable,14.29,14.01,1
157,22,M,L2,10.9,16.2,80.9,89.5,1,7,Moyen,5.8,4,Stable,13.56,14.29,1
158,26,M,L1,8.0,13.6,85.8,39.6,3,8,Moyen,6.3,8,Stable,14.22,10.61,1
159,19,M,L1,7.4,18.3,73.0,54.7,5,9,Moyen,8.1,0,Instable,15.78,18.47,1
160,17,M,L3,3.6,11.5,81.4,69.0,5,9,Moyen,8.3,5,Limité,12.1,10.37,1
161,17,M,L1,9.5,10.3,56.1,43.3,12,9,Moyen,9.0,2,Instable,12.23,16.23,1
162,18,M,L1,1.0,25.5,70.5,85.7,8,7,Moyen,7.3,1,Stable,17.45,20.0,1
163,32,M,L1,9.9,14.0,71.9,75.8,7,7,Moyen,6.3,1,Limité,13.38,14.51,1
164,17,F,L1,3.5,8.4,77.4,54.0,3,8,Moyen,6.0,4,Stable,10.92,8.51,0
165,26,M,M1,8.2,8.5,43.3,85.2,3,8,Moyen,3.4,2,Stable,11.0,9.09,0
166,17,M,L2,7.6,7.3,52.3,77.6,6,9,Élevé,8.9,6,Stable,7.66,2.66,0
167,26,F,M2,11.5,16.7,70.5,81.5,4,8,Moyen,5.9,2,Stable,13.29,16.9,1
168,23,F,L1,7.5,10.2,68.9,74.9,5,9,Bas,7.4,1,Stable,9.82,12.0,1
169,21,F,L3,5.9,12.6,66.4,21.8,6,5,Moyen,7.7,3,Stable,13.13,10.03,1
170,21,M,L2,6.5,11.7,70.2,43.5,6,9,Bas,4.3,3,Stable,10.82,12.52,1
171,18,F,L2,11.8,15.7,57.2,58.4,8,8,Bas,4.8,6,Stable,10.95,8.54,0
172,24,M,M1,9.6,7.8,74.6,72.3,6,10,Moyen,9.3,2,Stable,10.55,7.1,0
173,19,M,M2,6.8,6.6,86.1,42.9,7,6,Moyen,7.0,0,Stable,11.99,12.95,1
174,17,F,M1,7.3,13.1,78.6,90.7,5,9,Moyen,5.5,2,Limité,11.25,12.29,1
175,17,F,L1,3.3,15.0,48.6,68.2,4,5,Élevé,6.3,3,Instable,7.95,10.69,1
176,22,F,L1,9.2,13.7,93.5,32.6,4,10,Bas,8.5,0,Stable,15.81,20.0,1
177,29,F,L3,2.7,8.0,93.0,97.1,6,6,Bas,8.2,6,Stable,8.99,6.78,0
178,22,F,L1,10.3,15.4,87.8,61.4,6,7,Bas,3.9,3,Stable,15.64,12.64,1
179,21,M,L3,8.4,8.3,84.7,69.2,5,8,Bas,9.4,2,Stable,14.66,14.82,1
180,23,M,L2,15.2,9.4,83.9,85.0,4,9,Moyen,8.2,1,Stable,12.43,15.04,1
181,28,M,L2,4.7,7.3,51.0,65.3,3,8,Moyen,6.2,2,Stable,10.9,10.66,1
182,23,M,M1,7.7,18.5,85.6,91.1,6,6,Moyen,4.4,2,Instable,15.43,16.93,1
183,19,F,L3,13.4,15.2,83.6,74.4,4,6,Bas,8.4,3,Instable,16.8,16.97,1
184,27,M,L1,11.6,15.0,87.3,57.0,9,9,Moyen,7.4,8,Instable,13.09,15.26,1
185,24,F,L1,5.9,18.2,60.4,81.5,5,8,Bas,3.9,10,Instable,8.54,1.88,0
186,29,F,L3,8.7,26.1,80.1,81.9,5,9,Moyen,6.1,5,Instable,17.28,20.0,1
187,22,F,L2,8.0,3.5,62.8,39.7,1,9,Moyen,10.0,3,Instable,11.36,12.73,1
188,17,M,L1,8.8,8.3,90.2,96.2,5,7,Bas,6.5,6,Limité,12.67,5.68,0
189,17,M,L2,5.9,8.9,32.8,66.8,4,8,Élevé,5.2,2,Instable,7.19,5.6,0
190,30,F,L3,7.7,7.7,73.3,70.9,6,9,Moyen,4.7,2,Instable,11.22,12.56,1
191,30,F,M1,3.2,6.6,91.8,19.0,8,6,Moyen,9.7,4,Instable,13.48,10.36,1
192,21,F,L2,8.4,10.5,60.2,60.1,6,7,Moyen,8.0,5,Stable,10.41,2.48,0
193,20,F,L2,9.4,5.9,92.2,78.4,4,7,Moyen,9.0,2,Stable,15.98,11.39,1
194,29,F,L1,7.3,13.7,75.9,74.7,4,10,Bas,6.9,2,Stable,12.48,15.19,1
195,17,M,L2,3.2,12.3,76.7,60.4,5,6,Bas,8.8,2,Stable,14.52,7.53,0
196,17,F,L2,11.0,14.4,87.9,41.1,7,7,Moyen,5.0,3,Stable,15.26,8.43,0
197,25,M,L2,9.1,14.5,36.2,69.4,5,8,Élevé,6.8,2,Stable,9.3,11.03,1
198,20,F,L3,5.8,15.0,77.5,38.0,6,10,Moyen,7.0,1,Stable,13.36,13.37,1
199,21,F,L1,7.2,10.1,70.9,87.2,5,6,Moyen,9.0,4,Stable,13.03,9.27,0
200,21,M,L1,3.5,22.6,86.8,34.3,4,7,Moyen,7.1,2,Limité,17.48,16.99,1
201,23,M,L1,4.9,13.2,54.4,85.0,6,6,Moyen,5.4,1,Stable,11.87,5.26,0
202,29,M,M1,6.4,2.7,62.1,58.1,6,7,Bas,6.6,4,Stable,5.52,4.18,0
203,22,F,L3,11.7,7.0,67.5,88.6,4,6,Moyen,3.5,2,Stable,10.88,5.1,0
204,25,M,L1,6.1,3.3,57.5,49.9,3,7,Élevé,2.3,1,Stable,8.27,2.25,0
205,17,M,M1,9.9,12.1,69.6,40.3,2,6,Élevé,8.0,4,Instable,11.91,12.08,1
206,21,M,L2,6.4,11.4,70.8,68.5,7,9,Élevé,5.8,2,Instable,12.48,10.68,1
207,17,M,L2,8.7,9.7,76.6,81.4,3,9,Bas,6.0,3,Stable,11.06,7.21,0
208,17,M,M1,7.6,22.1,68.1,85.3,6,7,Moyen,8.0,2,Stable,14.8,8.96,0
209,17,M,L1,10.6,14.7,58.7,56.9,4,8,Moyen,9.0,2,Stable,12.08,14.39,1
210,20,M,L1,6.4,15.6,62.0,49.0,8,7,Bas,7.5,2,Instable,12.17,12.65,1
211,26,M,L2,3.3,7.3,53.9,46.7,8,7,Bas,10.0,2,Limité,12.84,9.65,0
212,17,M,L1,3.9,7.0,58.2,55.9,5,7,Moyen,7.4,2,Limité,10.91,4.97,0
213,22,M,L3,6.4,12.2,75.2,28.2,5,6,Moyen,7.0,5,Stable,10.78,8.75,0
214,19,M,L1,4.3,12.9,71.8,60.1,0,8,Moyen,6.9,3,Instable,15.55,16.4,1
215,20,F,L1,9.2,2.7,74.4,78.8,4,6,Bas,4.2,5,Instable,7.92,3.9,0
216,27,M,L1,6.6,11.1,94.7,68.1,4,9,Moyen,8.2,3,Limité,13.88,20.0,1
217,24,M,L2,15.1,12.1,69.3,68.0,6,7,Bas,2.1,3,Stable,12.89,13.13,1
218,28,M,L1,2.8,10.9,68.7,69.1,7,6,Bas,5.4,3,Stable,8.45,6.32,0
219,21,M,L1,8.6,7.9,56.5,71.4,4,8,Moyen,6.5,1,Stable,9.43,11.49,1
220,18,M,M1,4.6,9.3,98.6,43.2,5,8,Moyen,5.1,5,Stable,12.04,9.65,0
221,20,M,L2,6.5,11.1,92.3,65.4,4,8,Élevé,5.7,3,Instable,13.7,12.88,1
222,23,F,L2,8.4,12.5,69.9,77.8,3,7,Moyen,9.8,2,Stable,13.2,19.29,1
223,22,M,L1,1.0,15.0,77.3,64.9,14,8,Bas,8.5,3,Stable,13.72,10.42,1
224,17,M,L2,8.7,17.4,79.8,34.7,5,9,Bas,5.3,2,Instable,14.52,14.78,1
225,22,M,L1,13.7,10.5,56.5,61.7,3,6,Moyen,5.7,4,Stable,11.76,14.01,1
226,23,M,L3,6.6,9.7,89.7,81.3,4,9,Bas,4.2,6,Limité,12.54,10.68,1
227,34,M,L1,8.8,14.2,48.7,81.5,10,7,Bas,7.8,2,Instable,11.41,10.0,1
228,31,F,M1,11.1,15.1,73.4,86.2,5,7,Moyen,6.1,3,Limité,13.54,6.47,0
229,17,F,M1,7.5,9.8,76.6,55.1,5,10,Bas,3.0,3,Instable,14.16,2.37,0
230,20,M,L1,6.3,16.0,55.4,70.3,7,9,Moyen,6.7,3,Stable,12.51,20.0,1
231,17,M,L1,1.2,16.9,57.1,61.7,5,5,Moyen,7.3,4,Stable,11.84,12.01,1
232,19,M,L1,9.9,18.5,89.7,64.9,9,7,Bas,8.2,2,Limité,13.31,13.07,1
233,23,M,L3,7.7,20.9,83.8,94.8,10,10,Moyen,6.4,0,Stable,14.51,19.08,1
234,28,F,L1,5.0,7.7,94.1,86.7,5,6,Moyen,5.8,3,Stable,11.65,6.32,0
235,18,M,M1,8.4,12.1,42.3,92.3,4,8,Moyen,10.0,4,Instable,9.86,8.2,0
236,18,M,L3,6.2,12.1,59.4,40.4,3,9,Bas,6.5,3,Stable,10.35,5.33,0
237,17,F,M1,6.4,11.5,74.8,39.9,5,7,Moyen,7.8,5,Stable,12.57,5.05,0
238,21,M,L2,9.8,8.8,76.9,78.6,5,8,Bas,5.5,3,Stable,10.48,0.59,0
239,17,M,M2,4.0,4.6,88.8,80.0,2,9,Moyen,7.7,7,Stable,9.06,0.0,0
240,19,F,L1,11.1,12.5,71.6,84.9,4,6,Bas,3.9,3,Instable,12.96,15.22,1
241,17,M,L2,3.8,8.2,41.5,94.0,5,8,Élevé,5.7,1,Stable,10.66,5.03,0
242,21,M,L2,6.0,12.4,57.6,72.9,3,8,Bas,4.3,3,Stable,9.27,9.59,0
243,17,M,M1,13.8,8.0,78.2,55.6,7,8,Élevé,5.4,4,Stable,11.36,12.88,1
244,17,F,L2,11.4,6.5,26.3,56.7,8,7,Élevé,8.8,4,Instable,3.8,1.59,0
245,32,M,M1,8.3,13.2,81.2,95.0,10,7,Moyen,5.4,3,Stable,10.99,9.32,0
246,17,M,L1,5.2,12.8,69.9,82.6,4,6,Moyen,7.8,1,Stable,11.82,12.96,1
247,17,M,M2,6.4,14.9,49.8,90.1,4,9,Moyen,9.2,5,Instable,13.07,10.79,1
248,31,M,L2,8.2,22.9,66.0,30.4,4,6,Élevé,6.5,5,Stable,14.03,18.41,1
249,36,F,L2,8.1,13.4,36.9,88.4,8,7,Moyen,8.3,5,Instable,8.5,14.58,1
250,17,M,M2,7.7,14.4,94.1,41.6,4,8,Moyen,7.5,1,Stable,15.22,20.0,1
251,20,F,L2,7.9,6.6,87.3,77.1,8,10,Bas,6.7,1,Stable,11.87,3.11,0
252,23,F,L2,7.4,5.6,69.8,69.5,6,6,Élevé,7.9,2,Stable,8.86,5.92,0
253,30,F,L2,3.7,19.9,78.3,41.8,3,9,Bas,9.8,1,Limité,19.04,20.0,1
254,17,M,L1,6.5,7.4,65.4,75.2,8,7,Bas,5.4,1,Stable,9.81,10.28,1
255,20,F,L2,10.7,6.8,71.9,49.5,6,7,Bas,4.8,1,Stable,10.63,1.99,0
256,25,F,L1,3.9,11.8,75.3,60.5,2,10,Moyen,4.7,7,Stable,10.97,0.6,0
